id,product_name,price(vnd),original_price,discount,discount_rate(%),review_count,rating_average,quantity_sold,brand_name,origin,subcategory_name,category_name
118136229,Điện thoại Panasonic KX-TGD312CX -Hàng chính hãng,1909000,1929000,20000,1,1,1.0,3.0,Panasonic,Việt Nam,dien-thoai-ban,Điện thoại
118486668,Máy đọc sách Kobo Elipsa - Hàng nhập khẩu,12000000,12000000,0,0,1,5.0,2.0,Kobo,Canada,may-doc-sach,Máy tính bảng
121405779,Laptop Lenovo Ideapad Gaming 3 15IMH05 i7 10750H/8GB/512GB/4GB GTX1650Ti/120Hz/Win10 (81Y4013UVN) - Hàng chính hãng,20490000,20490000,0,0,0,0.0,0.0,,,laptop-truyen-thong,Laptop
124742926,Apple MacBook Air 2020 13-inch (Apple M1 - 8GB/ 256GB) - MGN63SA/A - Space Grey,17940000,24990000,7050000,28,864,5.0,2946.0,Apple,Trung Quốc,macbook-imac,Laptop
125171841,Điện Thoại Bàn Panasonic KX-TSC11 - Hàng Chính Hãng,620000,620000,0,0,5,5.0,30.0,Panasonic,Malaysia,dien-thoai-ban,Điện thoại
125182567,Máy đọc sách All New Kindle Paperwhite 5 (11th Gen) - Hàng nhập khẩu,3590000,3590000,0,0,0,0.0,1.0,Kindle,Mỹ,may-doc-sach,Máy tính bảng
127363787,Laptop HP 240 G8 519A4PA (Core i3-1005G1/ 4 GB DDR4/ 256 GB SSD PCIe NVMe/ 14 FHD/ Win10) - Hàng Chính Hãng,11040000,11040000,0,0,0,0.0,0.0,,,laptop-truyen-thong,Laptop
130470405,Laptop HP 240 G8 519A7PA (Core i3-1005G1/ 4GB DDR4 2666MHz/ 256GB SSD PCIe NVMe/ 14 FHD/ Win10) - Hàng Chính Hãng,11040000,11040000,0,0,0,0.0,0.0,,,laptop-truyen-thong,Laptop
134947044,Laptop Dell Vostro 3400 70253900 (Core i5-1135G7/ 8GB/ 256GB SSD/ 14 FHD/ Win 11 + Office) - Hàng Chính Hãng,13750000,13750000,0,0,2,5.0,6.0,Dell,Trung Quốc,laptop-truyen-thong,Laptop
135092859,Laptop Dell Latitude 3520 70251603 - Hàng chính hãng,12120000,12120000,0,0,0,0.0,0.0,,,laptop-truyen-thong,Laptop
136979185,Laptop HP 14s-dq2545TU 46M23PA (Core i5-1135G7/ 8GB/ 256GB/ 14HD/ Win10) - Hàng Chính Hãng,15990000,15990000,0,0,0,0.0,0.0,,,laptop-truyen-thong,Laptop
139632023,"Máy đọc sách Kobo Libra (Libra Colour, Libra 2) - hàng nhập khẩu",5950000,5950000,0,0,1,5.0,1.0,Kobo,Canada,may-doc-sach,Máy tính bảng
140143812,Laptop Dell Latitude 3520 70251592 (i5 1135G7 4GB RAM/256GBSSD/15.6 inch FHD/Fedora/Đen) - Hàng chính hãng,18420000,18420000,0,0,0,0.0,0.0,,,laptop-truyen-thong,Laptop
140144656,Điện thoại Realme C25Y (4GB/128GB) - Hàng chính hãng,4960000,4990000,30000,1,0,0.0,0.0,,,dien-thoai-smartphone,Điện thoại
140747649,Điện thoại Realme C11 2021 (4GB/64GB) - Hàng chính hãng,3519000,3790000,271000,7,0,0.0,1.0,Realme,,dien-thoai-smartphone,Điện thoại
140940220,Máy đọc sách Kobo Sage - hàng nhập khẩu,7099000,8679000,1580000,18,10,5.0,23.0,Kobo,Canada,may-doc-sach,Máy tính bảng
141322626,Laptop Lenovo IdeaPad 3 15ITL6 82H80042VN (Core i5-1135G7/ 8GB DDR4/ 512GB SSD/ 15.6 FHD/ Win10) - Hàng Chính Hãng,16290000,16290000,0,0,0,0.0,0.0,,,laptop-truyen-thong,Laptop
142791368,Laptop Acer Gaming Aspire 7 A715-42G-R05G (NH.QAYSV.007) (R5 5500U/8GB RAM/512GB SSD/15.6 inch FHD 144Hz/GTX1650 4G/Win11/Đen) - Hàng chính hãng,17520000,17520000,0,0,0,0.0,0.0,,,laptop-gaming,Laptop
143022294,"Laptop Acer Aspire 7 A715-42G-R05G (AMD R5-5500U/ 8GB DDR4/ 512GB SSD/ GTX 1650 4GB/ 15.6 FHD IPS, 144Hz/ Win11) - Hàng Chính Hãng",17520000,17520000,0,0,0,0.0,0.0,,,laptop-truyen-thong,Laptop
143172648,Laptop Acer Aspire 7 A715-42G-R4XX (AMD R5-5500U/ 8GB DDR4/ 256GB SSD/ GTX 1650 4GB/ 15.6 FHD IPS/ Win11) - Hàng Chính Hãng,15480000,15480000,0,0,0,0.0,0.0,,,laptop-truyen-thong,Laptop
146563301,LapTop Lenovo V14 IIL (82C400W0VN) | Intel Core i3 _ 1005G1 | 4GB | 256GB SSD PCIe | Win 10 | 14 inch HD | Hàng Chính Hãng,8350000,8350000,0,0,2,5.0,8.0,Lenovo,Trung Quốc,laptop-truyen-thong,Laptop
147114276,Laptop Dell Vostro 3510 P112F002BBL (Core i5-1135G7/ 8GB/ 512GB SSD/ MX350 2GB/ 15.6 FHD/ Win11 + Office) - Hàng Chính Hãng,17040000,17040000,0,0,0,0.0,0.0,,,laptop-truyen-thong,Laptop
147969070,"Điện thoại thông minh itel A26 - giá rẻ | 2 Sim 2 Sóng 4G LTE | Màn hình IPS 5.7"" HD+ | RAM 2GB + ROM 32 GB (Hỗ trợ thẻ nhớ 32 GB) | Mở khoá bằng Gương Mặt | Chính Hãng bảo hành 12 tháng| 1 đổi 1 trong 30 ngày",2390000,2390000,0,0,1,5.0,7.0,Itel,Trung Quốc,dien-thoai-smartphone,Điện thoại
155530453,"Laptop HP 240 G8 i3 1005G1/4GB/256GB/14""F/Win10/(519A7PA)/Bạc - Hàng chính hãng",11040000,11040000,0,0,0,0.0,0.0,,,laptop-truyen-thong,Laptop
155974507,Laptop HP 14s-fq1080AU 4K0Z7PA (AMD R3-5300U/ 4GB DDR4/ 256GB SSD/ 14 HD/ Win 11) - Hàng Chính Hãng,14250000,14250000,0,0,0,0.0,0.0,,,laptop-truyen-thong,Laptop
156222386,Điện thoại Panasonic KX-TS520MX -Hàng chính hãng,450000,450000,0,0,0,0.0,3.0,Panasonic,Malaysia,dien-thoai-ban,Điện thoại
157835051,Điện Thoại Để Bàn Panasonic KX-TS500MX - Hàng Chính Hãng,380000,380000,0,0,1,5.0,7.0,Panasonic,Malaysia,dien-thoai-ban,Điện thoại
158583026,Laptop MSI Modern 14 B11MOU 851VN Gray (i3 1115G4/ 8GB/ 256GB SSD/ W10) Hàng Chính Hãng,14490000,14490000,0,0,0,0.0,1.0,MSI ,Trung Quốc,laptop-truyen-thong,Laptop
158583221,Laptop MSI Modern 14 B11SBU 668VN Carbon Gray (i5 1155G7/ 8GB/ 512GB SSD/ MX450 2GB/ W10) Hàng NK,21990000,21990000,0,0,0,0.0,0.0,,,laptop-truyen-thong,Laptop
159909050,"Laptop Acer Nitro 5 Tiger AN515-58-52SP (Core i5-12500H/ 8GB/ 512GB SSD/ RTX 3050/ 15.6 FHD IPS, 144Hz/ Win11) - Hàng Chính Hãng",24000000,24000000,0,0,0,0.0,1.0,Acer,Trung Quốc,laptop-gaming,Laptop
160445791,Laptop Lenovo IdeaPad 3 15ITL05 81X80055US (Core i3-1115G4/ 4GB/ 128GB SSD/ 15.6 FHD/ Win10) - Nhập Khẩu Chính Hãng,10290000,10290000,0,0,0,0.0,0.0,,,laptop-truyen-thong,Laptop
